"Population by Province in Indonesia (thousand), 2014‒2017",,,,,,
,,,,,,
Province,,2014,2015,2016,2017,
1,Aceh, 4 907, 5 002,5 096,5 190,
2,Sumatera Utara, 13 767, 13 938,14 103,14 262,
3,Sumatera Barat, 5 132, 5 196,5 260,5 322,
4,Riau, 6 188, 6 344,6 501,6 658,
5,Jambi, 3 344, 3 402,3 459,3 515,
6,Sumatera Selatan, 7 941, 8 052,8 161,8 267,
7,Bengkulu, 1 845, 1 875,1 905,1 934,
8,Lampung, 8 026, 8 117,8 205,8 290,
9,Bangka Belitung, 1 344, 1 373, 1 402,1 431,
10,Kepulauan Riau, 1 917, 1 973,2 028,2 083,
11,DKI Jakarta, 10 075, 10 178,10 277,10 374,
12,Jawa Barat, 46 030, 46 710,47 379,48 038,
13,Jawa Tengah, 33 523, 33 774,34 019,34 258,
14,DI Yogyakarta, 3 637, 3 679,3 721,3 762,
15,Jawa Timur, 38 610, 38 848,39 075,39 293,
16,Banten, 11 705, 11 955,12 203,12 448,
17,Bali, 4 105, 4 153,4 200,4 247,
18,Nusa Tenggara Barat, 4 774, 4 836,4 896,4 956,
19,Nusa Tenggara Timur, 5 037, 5 120,5 204,5 287,
20,Kalimantan Barat, 4 716, 4 790,4 862,4 933,
21,Kalimantan Tengah, 2 440, 2 495,2 550,2 605,
22,Kalimantan Selatan, 3 923, 3 990,4 055,4 120,
23,Kalimantan Timur, 3 351, 3 427,3 501,3 575,
24,Kalimantan Utara,618,642,666,691,
25,Sulawesi Utara, 2 387, 2 412,2 437,2 461,
26,Sulawesi Tengah, 2 831, 2 877,2 922,2 966,
27,Sulawesi Selatan, 8 432, 8 520,8 606,8 690,
28,Sulawesi Tenggara, 2 448, 2 500,2 551,2 602,
29,Gorontalo, 1 116, 1 133,1 151,1 168,
30,Sulawesi Barat, 1 258, 1 282,1 307,1 331,
31,Maluku, 1 657, 1 687,1 716,1 745,
32,Maluku Utara, 1 139, 1 162,1 186,1 209,
33,Papua Barat,850,872,893,915,
34,Papua, 3 091, 3 149,3 207,3 265,
Indonesia,, 252 165, 255 462,258 705,261 891,
Source  : Indonesia Population Projection 2010–2035,,,,,,